from,to,value,id
US,Games,1026,1000519001-0
Games,30-50 days,1026,1000519001-1
30-50 days,successful,1026,1000519001-2
successful,> 200%,1026,1000519001-3
US,Photography,393,1000521421-0
Photography,20-30 days,393,1000521421-1
20-30 days,failed,393,1000521421-2
failed,10% - 25%,393,1000521421-3
US,Technology,497,1000535116-0
Technology,20-30 days,497,1000535116-1
20-30 days,failed,497,1000535116-2
failed,25% - 50%,497,1000535116-3
US,Art,548,1000537760-0
Art,10-20 days,548,1000537760-1
10-20 days,failed,548,1000537760-2
failed,< 10%,548,1000537760-3
GB,Film & Video,1218,1000542390-0
Film & Video,20-30 days,1218,1000542390-1
20-30 days,failed,1218,1000542390-2
failed,< 10%,1218,1000542390-3
US,Art,1489,1000543883-0
Art,20-30 days,1489,1000543883-1
20-30 days,successful,1489,1000543883-2
successful,120% - 200%,1489,1000543883-3
GB,Film & Video,233,1000545028-0
Film & Video,30-50 days,233,1000545028-1
30-50 days,successful,233,1000545028-2
successful,100% - 120%,233,1000545028-3
IE,Technology,32,1000551777-0
Technology,20-30 days,32,1000551777-1
20-30 days,failed,32,1000551777-2
failed,< 10%,32,1000551777-3
US,Publishing,1774,1000553538-0
Publishing,20-30 days,1774,1000553538-1
20-30 days,successful,1774,1000553538-2
successful,120% - 200%,1774,1000553538-3
US,Technology,437,1000558429-0
Technology,10-20 days,437,1000558429-1
10-20 days,failed,437,1000558429-2
failed,< 10%,437,1000558429-3
US,Games,894,1000566862-0
Games,30-50 days,894,1000566862-1
30-50 days,failed,894,1000566862-2
failed,< 10%,894,1000566862-3
US,Publishing,436,100056789-0
Publishing,40-50 days,436,100056789-1
40-50 days,successful,436,100056789-2
successful,100% - 120%,436,100056789-3
US,Art,188,100057323-0
Art,30-50 days,188,100057323-1
30-50 days,successful,188,100057323-2
successful,> 200%,188,100057323-3
US,Photography,1966,1000577059-0
Photography,20-30 days,1966,1000577059-1
20-30 days,failed,1966,1000577059-2
failed,< 10%,1966,1000577059-3
GB,Film & Video,206,10005784-0
Film & Video,10-20 days,206,10005784-1
10-20 days,successful,206,10005784-2
successful,100% - 120%,206,10005784-3
GB,Art,319,1000581546-0
Art,20-30 days,319,1000581546-1
20-30 days,successful,319,1000581546-2
successful,100% - 120%,319,1000581546-3
GB,Design,443,1000581804-0
Design,20-30 days,443,1000581804-1
20-30 days,failed,443,1000581804-2
failed,< 10%,443,1000581804-3
US,Technology,1143,1000590709-0
Technology,30-50 days,1143,1000590709-1
30-50 days,failed,1143,1000590709-2
failed,< 10%,1143,1000590709-3
US,Games,12,1000598804-0
Games,< 10 days,12,1000598804-1
< 10 days,failed,12,1000598804-2
failed,50% - 100%,12,1000598804-3
GB,Publishing,912,1000600012-0
Publishing,20-30 days,912,1000600012-1
20-30 days,failed,912,1000600012-2
failed,< 10%,912,1000600012-3
GB,Music,45,1000600526-0
Music,40-50 days,45,1000600526-1
40-50 days,failed,45,1000600526-2
failed,< 10%,45,1000600526-3
MX,Music,13,1000600868-0
Music,40-50 days,13,1000600868-1
40-50 days,failed,13,1000600868-2
failed,< 10%,13,1000600868-3
US,Games,777,1000602156-0
Games,20-30 days,777,1000602156-1
20-30 days,failed,777,1000602156-2
failed,25% - 50%,777,1000602156-3
GB,Games,155,1000620551-0
Games,20-30 days,155,1000620551-1
20-30 days,failed,155,1000620551-2
failed,10% - 25%,155,1000620551-3
US,Technology,151,1000624031-0
Technology,40-50 days,151,1000624031-1
40-50 days,failed,151,1000624031-2
failed,10% - 25%,151,1000624031-3
US,Theater,665,1000627718-0
Theater,30-50 days,665,1000627718-1
30-50 days,successful,665,1000627718-2
successful,100% - 120%,665,1000627718-3
US,Technology,184,1000629643-0
Technology,40-50 days,184,1000629643-1
40-50 days,successful,184,1000629643-2
successful,100% - 120%,184,1000629643-3
GB,Photography,339,1000638156-0
Photography,20-30 days,339,1000638156-1
20-30 days,failed,339,1000638156-2
failed,< 10%,339,1000638156-3
GB,Film & Video,223,1000639526-0
Film & Video,30-50 days,223,1000639526-1
30-50 days,failed,223,1000639526-2
failed,< 10%,223,1000639526-3
ES,Film & Video,6,1000644119-0
Film & Video,> 50 days,6,1000644119-1
> 50 days,failed,6,1000644119-2
failed,10% - 25%,6,1000644119-3
US,Publishing,137,1000648117-0
Publishing,10-20 days,137,1000648117-1
10-20 days,successful,137,1000648117-2
successful,> 200%,137,1000648117-3
US,Games,131,1000650960-0
Games,> 50 days,131,1000650960-1
> 50 days,failed,131,1000650960-2
failed,10% - 25%,131,1000650960-3
US,Fashion,256,1000654344-0
Fashion,30-50 days,256,1000654344-1
30-50 days,successful,256,1000654344-2
successful,> 200%,256,1000654344-3
AU,Technology,424,1000656794-0
Technology,20-30 days,424,1000656794-1
20-30 days,failed,424,1000656794-2
failed,< 10%,424,1000656794-3
GB,Publishing,37,1000682368-0
Publishing,20-30 days,37,1000682368-1
20-30 days,failed,37,1000682368-2
failed,50% - 100%,37,1000682368-3
N,0",Film & Video,34,1000694855-0
Film & Video,40-50 days,34,1000694855-1
40-50 days,undefined,34,1000694855-2
undefined,< 10%,34,1000694855-3
CA,Technology,43,1000697657-0
Technology,20-30 days,43,1000697657-1
20-30 days,failed,43,1000697657-2
failed,25% - 50%,43,1000697657-3
US,Music,1450,1000699196-0
Music,20-30 days,1450,1000699196-1
20-30 days,failed,1450,1000699196-2
failed,10% - 25%,1450,1000699196-3
US,Publishing,205,1000710630-0
Publishing,40-50 days,205,1000710630-1
40-50 days,successful,205,1000710630-2
successful,120% - 200%,205,1000710630-3
US,Music,1676,1000727191-0
Music,> 50 days,1676,1000727191-1
> 50 days,successful,1676,1000727191-2
successful,100% - 120%,1676,1000727191-3
US,Design,843,1000727905-0
Design,> 50 days,843,1000727905-1
> 50 days,failed,843,1000727905-2
failed,< 10%,843,1000727905-3
US,Design,3736,1000741387-0
Design,20-30 days,3736,1000741387-1
20-30 days,failed,3736,1000741387-2
failed,< 10%,3736,1000741387-3
US,Games,4205,1000754401-0
Games,20-30 days,4205,1000754401-1
20-30 days,failed,4205,1000754401-2
failed,< 10%,4205,1000754401-3
US,Film & Video,13,1000761521-0
Film & Video,40-50 days,13,1000761521-1
40-50 days,live,13,1000761521-2
live,< 10%,13,1000761521-3
US,Design,790,1000767040-0
Design,20-30 days,790,1000767040-1
20-30 days,canceled,790,1000767040-2
canceled,< 10%,790,1000767040-3
GB,Publishing,339,1000770149-0
Publishing,20-30 days,339,1000770149-1
20-30 days,successful,339,1000770149-2
successful,100% - 120%,339,1000770149-3
US,Design,1347,1000772297-0
Design,20-30 days,1347,1000772297-1
20-30 days,successful,1347,1000772297-2
successful,> 200%,1347,1000772297-3
GB,Technology,89,1000776914-0
Technology,20-30 days,89,1000776914-1
20-30 days,successful,89,1000776914-2
successful,100% - 120%,89,1000776914-3
US,Art,258,1000785030-0
Art,10-20 days,258,1000785030-1
10-20 days,successful,258,1000785030-2
successful,> 200%,258,1000785030-3
US,Music,556,1000788629-0
Music,> 50 days,556,1000788629-1
> 50 days,successful,556,1000788629-2
successful,120% - 200%,556,1000788629-3
MX,Technology,3,100078996-0
Technology,30-50 days,3,100078996-1
30-50 days,successful,3,100078996-2
successful,100% - 120%,3,100078996-3
GB,Journalism,179,1000804742-0
Journalism,20-30 days,179,1000804742-1
20-30 days,failed,179,1000804742-2
failed,< 10%,179,1000804742-3
GB,Fashion,738,1000810416-0
Fashion,20-30 days,738,1000810416-1
20-30 days,failed,738,1000810416-2
failed,< 10%,738,1000810416-3
GB,Games,219,1000811882-0
Games,20-30 days,219,1000811882-1
20-30 days,successful,219,1000811882-2
successful,120% - 200%,219,1000811882-3
