from,to,value,id
Fashion,30-50 days,157,1001259618-1
30-50 days,failed,157,1001259618-2
failed,25% - 50%,157,1001259618-3
US,Technology,318,1001265769-0
Technology,40-50 days,318,1001265769-1
40-50 days,successful,318,1001265769-2
successful,> 200%,318,1001265769-3
US,Design,1059,1001292387-0
Design,20-30 days,1059,1001292387-1
20-30 days,failed,1059,1001292387-2
failed,10% - 25%,1059,1001292387-3
IT,Fashion,40,1001302417-0
Fashion,30-50 days,40,1001302417-1
30-50 days,failed,40,1001302417-2
failed,< 10%,40,1001302417-3
US,Music,109,1001303993-0
Music,10-20 days,109,1001303993-1
10-20 days,failed,109,1001303993-2
failed,25% - 50%,109,1001303993-3
AU,Crafts,2,1001304256-0
Crafts,10-20 days,2,1001304256-1
10-20 days,successful,2,1001304256-2
successful,> 200%,2,1001304256-3
GB,Publishing,173,1001333672-0
Publishing,20-30 days,173,1001333672-1
20-30 days,canceled,173,1001333672-2
canceled,< 10%,173,1001333672-3
US,Fashion,101,1001338336-0
Fashion,10-20 days,101,1001338336-1
10-20 days,failed,101,1001338336-2
failed,10% - 25%,101,1001338336-3
US,Art,866,1001340544-0
Art,30-50 days,866,1001340544-1
30-50 days,successful,866,1001340544-2
successful,100% - 120%,866,1001340544-3
US,Games,90,100134337-0
Games,10-20 days,90,100134337-1
10-20 days,canceled,90,100134337-2
canceled,< 10%,90,100134337-3
US,Journalism,103,1001347176-0
Journalism,20-30 days,103,1001347176-1
20-30 days,successful,103,1001347176-2
successful,120% - 200%,103,1001347176-3
US,Games,143,1001348491-0
Games,40-50 days,143,1001348491-1
40-50 days,successful,143,1001348491-2
successful,100% - 120%,143,1001348491-3
CA,Food,32,1001352451-0
Food,20-30 days,32,1001352451-1
20-30 days,failed,32,1001352451-2
failed,25% - 50%,32,1001352451-3
NO,Games,3,1001353002-0
Games,> 50 days,3,1001353002-1
> 50 days,canceled,3,1001353002-2
canceled,< 10%,3,1001353002-3
US,Film & Video,650,1001366443-0
Film & Video,> 50 days,650,1001366443-1
> 50 days,failed,650,1001366443-2
failed,10% - 25%,650,1001366443-3
NL,Games,39,1001368898-0
Games,20-30 days,39,1001368898-1
20-30 days,canceled,39,1001368898-2
canceled,< 10%,39,1001368898-3
GB,Photography,41,1001404128-0
Photography,30-50 days,41,1001404128-1
30-50 days,failed,41,1001404128-2
failed,< 10%,41,1001404128-3
US,Design,66,1001407622-0
Design,10-20 days,66,1001407622-1
10-20 days,failed,66,1001407622-2
failed,25% - 50%,66,1001407622-3
GB,Food,59,1001432466-0
Food,20-30 days,59,1001432466-1
20-30 days,successful,59,1001432466-2
successful,120% - 200%,59,1001432466-3
US,Publishing,1473,1001468086-0
Publishing,20-30 days,1473,1001468086-1
20-30 days,failed,1473,1001468086-2
failed,10% - 25%,1473,1001468086-3
US,Food,477,1001473842-0
Food,10-20 days,477,1001473842-1
10-20 days,failed,477,1001473842-2
failed,< 10%,477,1001473842-3
US,Photography,103,1001476723-0
Photography,> 50 days,103,1001476723-1
> 50 days,failed,103,1001476723-2
failed,10% - 25%,103,1001476723-3
US,Food,1941,1001484182-0
Food,20-30 days,1941,1001484182-1
20-30 days,successful,1941,1001484182-2
successful,100% - 120%,1941,1001484182-3
AU,Technology,22,1001490622-0
Technology,30-50 days,22,1001490622-1
30-50 days,canceled,22,1001490622-2
canceled,< 10%,22,1001490622-3
DE,Art,14,1001494526-0
Art,> 50 days,14,1001494526-1
> 50 days,failed,14,1001494526-2
failed,< 10%,14,1001494526-3
N,0",Music,556,100149523-0
Music,20-30 days,556,100149523-1
20-30 days,undefined,556,100149523-2
undefined,100% - 120%,556,100149523-3
AU,Film & Video,5,1001498884-0
Film & Video,20-30 days,5,1001498884-1
20-30 days,successful,5,1001498884-2
successful,> 200%,5,1001498884-3
GB,Fashion,35,1001516983-0
Fashion,30-50 days,35,1001516983-1
30-50 days,failed,35,1001516983-2
failed,10% - 25%,35,1001516983-3
US,Photography,123,1001524172-0
Photography,40-50 days,123,1001524172-1
40-50 days,successful,123,1001524172-2
successful,100% - 120%,123,1001524172-3
CA,Film & Video,186,1001527526-0
Film & Video,20-30 days,186,1001527526-1
20-30 days,successful,186,1001527526-2
successful,100% - 120%,186,1001527526-3
US,Fashion,884,1001529115-0
Fashion,> 50 days,884,1001529115-1
> 50 days,failed,884,1001529115-2
failed,< 10%,884,1001529115-3
AU,Design,169,1001529854-0
Design,20-30 days,169,1001529854-1
20-30 days,failed,169,1001529854-2
failed,< 10%,169,1001529854-3
IT,Publishing,27,1001542282-0
Publishing,> 50 days,27,1001542282-1
> 50 days,failed,27,1001542282-2
failed,< 10%,27,1001542282-3
US,Publishing,205,1001548662-0
Publishing,40-50 days,205,1001548662-1
40-50 days,canceled,205,1001548662-2
canceled,< 10%,205,1001548662-3
US,Comics,1007,1001560762-0
Comics,20-30 days,1007,1001560762-1
20-30 days,failed,1007,1001560762-2
failed,< 10%,1007,1001560762-3
US,Technology,1710,1001565620-0
Technology,> 50 days,1710,1001565620-1
> 50 days,failed,1710,1001565620-2
failed,< 10%,1710,1001565620-3
GB,Fashion,149,1001566226-0
Fashion,20-30 days,149,1001566226-1
20-30 days,failed,149,1001566226-2
failed,10% - 25%,149,1001566226-3
US,Dance,49,1001575705-0
Dance,10-20 days,49,1001575705-1
10-20 days,failed,49,1001575705-2
failed,< 10%,49,1001575705-3
IT,Food,69,1001578248-0
Food,20-30 days,69,1001578248-1
20-30 days,failed,69,1001578248-2
failed,< 10%,69,1001578248-3
GB,Music,45,100158537-0
Music,> 50 days,45,100158537-1
> 50 days,successful,45,100158537-2
successful,120% - 200%,45,100158537-3
US,Film & Video,404,1001591110-0
Film & Video,> 50 days,404,1001591110-1
> 50 days,successful,404,1001591110-2
successful,120% - 200%,404,1001591110-3
US,Technology,98,1001600663-0
Technology,30-50 days,98,1001600663-1
30-50 days,canceled,98,1001600663-2
canceled,10% - 25%,98,1001600663-3
US,Design,1031,1001650469-0
Design,20-30 days,1031,1001650469-1
20-30 days,successful,1031,1001650469-2
successful,120% - 200%,1031,1001650469-3
US,Music,679,1001656127-0
Music,10-20 days,679,1001656127-1
10-20 days,failed,679,1001656127-2
failed,< 10%,679,1001656127-3
US,Fashion,452,1001685760-0
Fashion,20-30 days,452,1001685760-1
20-30 days,successful,452,1001685760-2
successful,> 200%,452,1001685760-3
IE,Technology,2,1001689284-0
Technology,10-20 days,2,1001689284-1
10-20 days,successful,2,1001689284-2
successful,> 200%,2,1001689284-3
US,Photography,273,100171056-0
Photography,30-50 days,273,100171056-1
30-50 days,successful,273,100171056-2
successful,100% - 120%,273,100171056-3
US,Games,40,1001723373-0
Games,> 50 days,40,1001723373-1
> 50 days,failed,40,1001723373-2
failed,50% - 100%,40,1001723373-3
CA,Music,39,1001726950-0
Music,40-50 days,39,1001726950-1
40-50 days,failed,39,1001726950-2
failed,< 10%,39,1001726950-3
US,Design,6,1001732009-0
Design,30-50 days,6,1001732009-1
30-50 days,suspended,6,1001732009-2
suspended,120% - 200%,6,1001732009-3
US,Games,198,100173367-0
Games,10-20 days,198,100173367-1
10-20 days,successful,198,100173367-2
successful,120% - 200%,198,100173367-3
CA,Technology,200,100173829-0
Technology,> 50 days,200,100173829-1
> 50 days,failed,200,100173829-2
failed,< 10%,200,100173829-3
US,Publishing,320,1001768094-0
Publishing,> 50 days,320,1001768094-1
> 50 days,failed,320,1001768094-2
failed,10% - 25%,320,1001768094-3
NZ,Art,2,1001787855-0
Art,30-50 days,2,1001787855-1
30-50 days,successful,2,1001787855-2
successful,100% - 120%,2,1001787855-3
AU,Design,15,1001813414-0
Design,30-50 days,15,1001813414-1
30-50 days,canceled,15,1001813414-2
canceled,< 10%,15,1001813414-3
US,Games,616,1001814122-0
Games,30-50 days,616,1001814122-1
30-50 days,successful,616,1001814122-2
successful,120% - 200%,616,1001814122-3
US,Music,2884,1001823329-0
Music,30-50 days,2884,1001823329-1
30-50 days,successful,2884,1001823329-2
successful,100% - 120%,2884,1001823329-3
GB,Film & Video,120,10018239-0
Film & Video,40-50 days,120,10018239-1
40-50 days,failed,120,10018239-2
failed,< 10%,120,10018239-3
US,Art,155,1001856035-0
Art,30-50 days,155,1001856035-1
30-50 days,canceled,155,1001856035-2
canceled,< 10%,155,1001856035-3
US,Journalism,119,1001857288-0
Journalism,20-30 days,119,1001857288-1
20-30 days,failed,119,1001857288-2
failed,10% - 25%,119,1001857288-3
GB,Games,51,1001863639-0
Games,> 50 days,51,1001863639-1
> 50 days,canceled,51,1001863639-2
canceled,< 10%,51,1001863639-3
US,Dance,783,1001878319-0
Dance,20-30 days,783,1001878319-1
20-30 days,successful,783,1001878319-2
successful,100% - 120%,783,1001878319-3
US,Photography,670,100188605-0
Photography,20-30 days,670,100188605-1
20-30 days,successful,670,100188605-2
successful,100% - 120%,670,100188605-3
GB,Food,59,1001899204-0
Food,40-50 days,59,1001899204-1
40-50 days,failed,59,1001899204-2
failed,< 10%,59,1001899204-3
GB,Technology,60,1001904214-0
Technology,> 50 days,60,1001904214-1
> 50 days,canceled,60,1001904214-2
canceled,< 10%,60,1001904214-3
US,Comics,389,1001924624-0
Comics,> 50 days,389,1001924624-1
> 50 days,failed,389,1001924624-2
failed,< 10%,389,1001924624-3
US,Film & Video,465,1001979324-0
Film & Video,30-50 days,465,1001979324-1
30-50 days,failed,465,1001979324-2
failed,25% - 50%,465,1001979324-3
GB,Fashion,44,1001981525-0
Fashion,30-50 days,44,1001981525-1
30-50 days,successful,44,1001981525-2
successful,100% - 120%,44,1001981525-3
US,Art,639,1001988165-0
Art,20-30 days,639,1001988165-1
20-30 days,failed,639,1001988165-2
failed,25% - 50%,639,1001988165-3
US,Comics,796,1001989065-0
Comics,20-30 days,796,1001989065-1
20-30 days,successful,796,1001989065-2
successful,> 200%,796,1001989065-3
GB,Film & Video,28,1001994928-0
Film & Video,40-50 days,28,1001994928-1
40-50 days,failed,28,1001994928-2
failed,10% - 25%,28,1001994928-3
GB,Film & Video,949,1002005884-0
Film & Video,20-30 days,949,1002005884-1
20-30 days,successful,949,1002005884-2
successful,100% - 120%,949,1002005884-3
US,Design,370,1002031061-0
Design,30-50 days,370,1002031061-1
30-50 days,failed,370,1002031061-2
failed,25% - 50%,370,1002031061-3
US,Film & Video,1364,1002045558-0
Film & Video,> 50 days,1364,1002045558-1
> 50 days,successful,1364,1002045558-2
successful,100% - 120%,1364,1002045558-3
US,Technology,152,1002058532-0
Technology,40-50 days,152,1002058532-1
40-50 days,successful,152,1002058532-2
successful,120% - 200%,152,1002058532-3
US,Games,197,1002058739-0
Games,40-50 days,197,1002058739-1
40-50 days,canceled,197,1002058739-2
canceled,< 10%,197,1002058739-3
US,Design,571,1002071867-0
Design,30-50 days,571,1002071867-1
30-50 days,successful,571,1002071867-2
successful,100% - 120%,571,1002071867-3
US,Film & Video,209,100207951-0
Film & Video,10-20 days,209,100207951-1
10-20 days,canceled,209,100207951-2
canceled,< 10%,209,100207951-3
US,Photography,50,1002085616-0
Photography,10-20 days,50,1002085616-1
10-20 days,failed,50,1002085616-2
failed,25% - 50%,50,1002085616-3
US,Art,106,1002087593-0
Art,10-20 days,106,1002087593-1
10-20 days,failed,106,1002087593-2
failed,25% - 50%,106,1002087593-3
CA,Design,60,1002096459-0
Design,20-30 days,60,1002096459-1
20-30 days,failed,60,1002096459-2
failed,10% - 25%,60,1002096459-3
IT,Design,18,1002098978-0
Design,40-50 days,18,1002098978-1
40-50 days,failed,18,1002098978-2
failed,< 10%,18,1002098978-3
GB,Art,24,1002105969-0
Art,10-20 days,24,1002105969-1
10-20 days,failed,24,1002105969-2
failed,25% - 50%,24,1002105969-3
US,Comics,959,1002109548-0
Comics,20-30 days,959,1002109548-1
20-30 days,successful,959,1002109548-2
successful,100% - 120%,959,1002109548-3
US,Music,1584,1002122038-0
Music,30-50 days,1584,1002122038-1
30-50 days,failed,1584,1002122038-2
failed,< 10%,1584,1002122038-3
US,Theater,26,1002125056-0
Theater,40-50 days,26,1002125056-1
40-50 days,failed,26,1002125056-2
failed,25% - 50%,26,1002125056-3
US,Journalism,40,100212849-0
Journalism,30-50 days,40,100212849-1
30-50 days,successful,40,100212849-2
successful,120% - 200%,40,100212849-3
US,Music,265,1002131859-0
Music,30-50 days,265,1002131859-1
30-50 days,successful,265,1002131859-2
successful,> 200%,265,1002131859-3
US,Publishing,546,1002139381-0
Publishing,30-50 days,546,1002139381-1
30-50 days,successful,546,1002139381-2
successful,120% - 200%,546,1002139381-3
GB,Film & Video,1,1002183790-0
Film & Video,10-20 days,1,1002183790-1
10-20 days,live,1,1002183790-2
live,25% - 50%,1,1002183790-3
GB,Photography,10,1002187988-0
Photography,40-50 days,10,1002187988-1
40-50 days,canceled,10,1002187988-2
canceled,< 10%,10,1002187988-3
US,Film & Video,1035,1002191592-0
Film & Video,10-20 days,1035,1002191592-1
10-20 days,failed,1035,1002191592-2
failed,< 10%,1035,1002191592-3
GB,Games,855,1002193030-0
Games,20-30 days,855,1002193030-1
20-30 days,failed,855,1002193030-2
failed,< 10%,855,1002193030-3
US,Art,387,1002208176-0
Art,40-50 days,387,1002208176-1
40-50 days,successful,387,1002208176-2
successful,100% - 120%,387,1002208176-3
US,Publishing,431,1002226766-0
Publishing,> 50 days,431,1002226766-1
> 50 days,canceled,431,1002226766-2
canceled,< 10%,431,1002226766-3
US,Dance,153,1002234028-0
Dance,10-20 days,153,1002234028-1
10-20 days,successful,153,1002234028-2
successful,100% - 120%,153,1002234028-3
US,Crafts,66,100224840-0
Crafts,10-20 days,66,100224840-1
10-20 days,successful,66,100224840-2
successful,100% - 120%,66,100224840-3
DE,Games,77,1002250421-0
Games,20-30 days,77,1002250421-1
20-30 days,canceled,77,1002250421-2
canceled,< 10%,77,1002250421-3
US,Film & Video,212,1002264833-0
Film & Video,< 10 days,212,1002264833-1
< 10 days,successful,212,1002264833-2
successful,100% - 120%,212,1002264833-3
US,Food,837,1002295749-0
Food,20-30 days,837,1002295749-1
20-30 days,canceled,837,1002295749-2
canceled,< 10%,837,1002295749-3
GB,Comics,4,1002299677-0
Comics,40-50 days,4,1002299677-1
40-50 days,successful,4,1002299677-2
successful,> 200%,4,1002299677-3
US,Art,81,1002304874-0
Art,> 50 days,81,1002304874-1
> 50 days,successful,81,1002304874-2
successful,> 200%,81,1002304874-3
US,Film & Video,1239,1002308373-0
Film & Video,10-20 days,1239,1002308373-1
10-20 days,successful,1239,1002308373-2
successful,100% - 120%,1239,1002308373-3
US,Fashion,847,1002342607-0
Fashion,20-30 days,847,1002342607-1
20-30 days,failed,847,1002342607-2
failed,10% - 25%,847,1002342607-3
CA,Games,65,1002344676-0
Games,20-30 days,65,1002344676-1
20-30 days,failed,65,1002344676-2
failed,25% - 50%,65,1002344676-3
AU,Food,157,1002368838-0
Food,20-30 days,157,1002368838-1
20-30 days,failed,157,1002368838-2
failed,< 10%,157,1002368838-3
US,Fashion,816,1002372799-0
Fashion,20-30 days,816,1002372799-1
20-30 days,canceled,816,1002372799-2
canceled,< 10%,816,1002372799-3
US,Technology,8,1002379225-0
Technology,40-50 days,8,1002379225-1
40-50 days,canceled,8,1002379225-2
canceled,> 200%,8,1002379225-3
US,Games,546,1002382304-0
Games,10-20 days,546,1002382304-1
10-20 days,successful,546,1002382304-2
successful,> 200%,546,1002382304-3
US,Theater,893,10024216-0
Theater,20-30 days,893,10024216-1
20-30 days,failed,893,10024216-2
failed,< 10%,893,10024216-3
CH,Food,1,1002444966-0
Food,20-30 days,1,1002444966-1
20-30 days,successful,1,1002444966-2
successful,120% - 200%,1,1002444966-3
US,Art,641,100245014-0
Art,20-30 days,641,100245014-1
20-30 days,canceled,641,100245014-2
canceled,< 10%,641,100245014-3
US,Film & Video,559,1002451969-0
Film & Video,20-30 days,559,1002451969-1
20-30 days,successful,559,1002451969-2
successful,> 200%,559,1002451969-3
US,Technology,867,1002453633-0
Technology,20-30 days,867,1002453633-1
20-30 days,successful,867,1002453633-2
successful,> 200%,867,1002453633-3
US,Crafts,372,1002478333-0
Crafts,20-30 days,372,1002478333-1
20-30 days,successful,372,1002478333-2
successful,100% - 120%,372,1002478333-3
US,Technology,1022,1002484986-0
Technology,40-50 days,1022,1002484986-1
40-50 days,failed,1022,1002484986-2
failed,< 10%,1022,1002484986-3
US,Technology,619,1002492289-0
Technology,20-30 days,619,1002492289-1
20-30 days,successful,619,1002492289-2
successful,120% - 200%,619,1002492289-3
GB,Art,18,1002500521-0
Art,30-50 days,18,1002500521-1
30-50 days,canceled,18,1002500521-2
canceled,< 10%,18,1002500521-3
AU,Technology,10,1002515281-0
Technology,30-50 days,10,1002515281-1
30-50 days,failed,10,1002515281-2
failed,10% - 25%,10,1002515281-3
GB,Music,36,1002520944-0
Music,10-20 days,36,1002520944-1
10-20 days,successful,36,1002520944-2
successful,120% - 200%,36,1002520944-3
AT,Crafts,6,1002522073-0
Crafts,20-30 days,6,1002522073-1
20-30 days,failed,6,1002522073-2
failed,< 10%,6,1002522073-3
SE,Design,34,1002538085-0
Design,20-30 days,34,1002538085-1
20-30 days,failed,34,1002538085-2
failed,< 10%,34,1002538085-3
US,Film & Video,318,1002560995-0
Film & Video,> 50 days,318,1002560995-1
> 50 days,failed,318,1002560995-2
failed,25% - 50%,318,1002560995-3
US,Art,266,1002570423-0
Art,> 50 days,266,1002570423-1
> 50 days,canceled,266,1002570423-2
canceled,< 10%,266,1002570423-3
CA,Music,30,1002571103-0
Music,20-30 days,30,1002571103-1
20-30 days,successful,30,1002571103-2
successful,> 200%,30,1002571103-3
US,Comics,262,1002585330-0
Comics,30-50 days,262,1002585330-1
30-50 days,successful,262,1002585330-2
successful,> 200%,262,1002585330-3
FR,Games,12,1002597730-0
Games,40-50 days,12,1002597730-1
40-50 days,failed,12,1002597730-2
failed,< 10%,12,1002597730-3
US,Film & Video,59,1002599057-0
Film & Video,> 50 days,59,1002599057-1
> 50 days,live,59,1002599057-2
live,< 10%,59,1002599057-3
AU,Games,17,1002599773-0
Games,20-30 days,17,1002599773-1
20-30 days,canceled,17,1002599773-2
canceled,25% - 50%,17,1002599773-3
CA,Technology,9,1002599863-0
Technology,> 50 days,9,1002599863-1
> 50 days,successful,9,1002599863-2
successful,> 200%,9,1002599863-3
US,Art,97,1002624093-0
Art,40-50 days,97,1002624093-1
40-50 days,failed,97,1002624093-2
failed,25% - 50%,97,1002624093-3
MX,Art,1,1002629894-0
Art,10-20 days,1,1002629894-1
10-20 days,live,1,1002629894-2
live,< 10%,1,1002629894-3
AU,Design,8,100264379-0
Design,40-50 days,8,100264379-1
40-50 days,failed,8,100264379-2
failed,10% - 25%,8,100264379-3
GB,Art,10,1002646104-0
Art,> 50 days,10,1002646104-1
> 50 days,successful,10,1002646104-2
successful,> 200%,10,1002646104-3
IE,Design,4,1002646572-0
Design,30-50 days,4,1002646572-1
30-50 days,failed,4,1002646572-2
failed,< 10%,4,1002646572-3
US,Technology,302,1002692211-0
Technology,30-50 days,302,1002692211-1
30-50 days,successful,302,1002692211-2
successful,120% - 200%,302,1002692211-3
GB,Food,134,1002715554-0
Food,20-30 days,134,1002715554-1
20-30 days,successful,134,1002715554-2
successful,100% - 120%,134,1002715554-3
US,Food,962,1002717273-0
Food,30-50 days,962,1002717273-1
30-50 days,failed,962,1002717273-2
failed,< 10%,962,1002717273-3
US,Crafts,358,1002728217-0
Crafts,20-30 days,358,1002728217-1
20-30 days,successful,358,1002728217-2
successful,> 200%,358,1002728217-3
